gene	chromosome	position_start	position_end	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
intron_6_30547530_30552467	6	30547530	30552467	7.8000252567813e-20	3	1	7.8000252567811e-20	Pancreas	7.80002525678127e-20	Esophagus_Mucosa	3	5.34638516930115e-35	3	-9.11592769622803	-9.11592769622803	-9.11592769622803	1.25607396694702e-15	0.999999999999999	0
intron_6_31151122_31154496	6	31151122	31154496	8.06428247144433e-20	5	3	7.95978938301566e-06	Skin_Not_Sun_Exposed_Suprapubic	0.641215989425964	Esophagus_Mucosa	4.57149535190798	4.85592171998836e-18	0.163634113500877	-4.46626261176904	0.465999317017173	-2.55547425201796	2.24311736151074	3	0
intron_6_30651082_30651266	6	30651082	30651266	8.20000289880501e-20	4	1	8.20000289880518e-20	Esophagus_Mucosa	8.20000289880518e-20	Esophagus_Mucosa	4	3.92662538609048e-80	4	-9.11050415039062	-9.11050415039062	-9.11050415039062	0	1	0
intron_6_30651100_30651266	6	30651100	30651266	8.20000289880531e-20	5	1	8.20000289880518e-20	Esophagus_Mucosa	8.20000289880518e-20	Esophagus_Mucosa	5	2.0628551605327e-67	5	9.11050415039062	9.11050415039062	9.11050415039062	0	1	0
intron_6_30741704_30741792	6	30741704	30741792	9.66223470406001e-20	4	1	9.40003272020079e-20	Pancreas	1.06391587791207e-19	Skin_Not_Sun_Exposed_Suprapubic	3.99966915073358	1.11014909552109e-16	3.99966915073358	-9.09567546844483	-9.08221068262404	-9.09230927198963	0.0067323929103944	1	0
intron_6_30688942_30690047	6	30688942	30690047	2.01792731221281e-19	5	3	7.50002290440954e-20	Esophagus_Mucosa	0.319999991574413	Pancreas	2.24135596279797	1.76663533992867e-16	0.873139697006299	-9.12017917633057	2.9112377166748	-3.46360728740692	5.40429591354589	3	0
intron_6_30007593_30491137	6	30007593	30491137	4.13129508169199e-19	5	3	1.40000482275236e-18	Kidney_Cortex	2.63342316186014e-12	Esophagus_Mucosa	4.25349543077212	0.0275250886649771	0.167642603982289	6.9960166176275	8.79741764068604	7.98076736275642	0.792407407100364	3	0
intron_6_30741333_30741614	6	30741333	30741614	6.01784069046127e-19	5	2	6.40001903884739e-20	Esophagus_Mucosa	0.510000010717303	Kidney_Cortex	3.95548798036475	8.42268056011045e-33	1.0272057720041	0.658837676048279	9.13735198974609	7.40891066723654	3.77400118262946	2	0
intron_6_30741333_30742147	6	30741333	30742147	9.44079361587843e-19	5	2	6.40001903884739e-20	Esophagus_Mucosa	0.510000010717303	Kidney_Cortex	3.81533447029071	9.67150035245298e-17	1.10604780488509	-0.658837676048279	9.13735198974609	6.30187364941198	3.99776826094281	2	0
intron_6_30741867_30742147	6	30741867	30742147	1.01118815254747e-18	5	2	9.40003272020092e-20	Esophagus_Mucosa	0.510000010717303	Kidney_Cortex	4.00131331861376	8.46306443813102e-34	0.998686681386245	-9.09567546844482	0.658837676048279	-7.1447728395462	4.36235089570036	2	0
intron_6_30730818_30730919	6	30730818	30730919	2.04066513310294e-18	2	1	1.14790522120795e-18	Kidney_Cortex	3.63158195918262e-18	Esophagus_Mucosa	1.99986543230551	0.000134567694492001	1.99986543230551	-8.81967684377319	-8.68977493923189	-8.75472589150254	0.0918545175902026	1	0
intron_6_30730727_30730919	6	30730727	30730919	2.15434269212723e-18	4	1	2.37315229437494e-19	Esophagus_Mucosa	9.08400540769164e-17	Skin_Sun_Exposed_Lower_leg	3.93278530315381	0.00322605090781112	3.93278530315381	8.31618491510277	8.99449754006846	8.67615335653941	0.292261886029362	1	0
intron_6_31355223_31355317	6	31355223	31355317	2.40360517678397e-18	5	3	2.40000174911018e-14	Kidney_Cortex	0.00723473746837732	Skin_Not_Sun_Exposed_Suprapubic	3.99643505553167	0.00511603872232645	0.194566055702382	2.6858416156232	7.62715005874634	5.12183128760219	2.18212485967217	3	0
intron_6_31271348_31356688	6	31271348	31356688	2.67326475604947e-18	5	3	2.35566569845606e-21	Skin_Sun_Exposed_Lower_leg	2.16922212729504e-08	Pancreas	3.98211962945226	0.0287247044732437	0.382628559086291	5.59793326832823	9.48797464575012	7.94039639782749	1.54574182243004	3	0
intron_6_31150860_31150959	6	31150860	31150959	2.72326923782189e-18	5	4	2.09999626406409e-17	Skin_Sun_Exposed_Lower_leg	0.730000003969759	Skin_Not_Sun_Exposed_Suprapubic	3.34820452180253	4.18350800903675e-16	0.175197404677776	-0.345125526189804	8.48812389373779	4.92967579960823	3.22317106284313	4	0
intron_6_31626162_31626772	6	31626162	31626772	5.40000127636447e-18	1	1	5.40000127636444e-18	Pancreas	5.40000127636444e-18	Pancreas	1	1	1	-8.64458751678467	-8.64458751678467	-8.64458751678467	NA	1	0
intron_6_31652551_31656472	6	31652551	31656472	5.79999218566903e-18	3	1	5.79999218566877e-18	Skin_Sun_Exposed_Lower_leg	5.7999921856689e-18	Esophagus_Mucosa	3	2.11125548401341e-48	3	8.63642406463623	8.63642406463623	8.63642406463623	1.25607396694702e-15	0.999999999999999	0
intron_6_31656633_31657225	6	31656633	31657225	6.79999047606537e-18	4	1	6.79999047606532e-18	Esophagus_Mucosa	6.79999047606556e-18	Pancreas	4	1.69146553617423e-16	4	-8.61822509765625	-8.61822509765625	-8.61822509765625	1.45038928587789e-15	1	0
intron_6_30490515_30491137	6	30490515	30491137	7.45462050825089e-18	5	3	1.46940773927106e-17	Skin_Sun_Exposed_Lower_leg	3.99999415863301e-13	Kidney_Cortex	4.08826773235908	0.0168588123854962	0.154890201185491	-8.52953213728527	-7.25556135177612	-7.78109185097724	0.576223627139365	3	0
intron_6_31269525_31269966	6	31269525	31269966	8.61071632448902e-18	5	3	7.86357561608896e-13	Skin_Sun_Exposed_Lower_leg	2.8000027935128e-05	Kidney_Cortex	3.30280475276983	0.0153734154823789	0.650914500600771	-7.16351238245756	4.1891508102417	-3.97470475318942	4.6504142632867	3	0
intron_6_31157089_31157358	6	31157089	31157358	1.54216842569118e-17	3	2	6.17324926820519e-07	Skin_Not_Sun_Exposed_Suprapubic	0.380616952777609	Skin_Sun_Exposed_Lower_leg	2.85206005623369	0.0136950527123149	0.134244891053999	0.876760104600369	4.98571686255137	2.59378437942127	2.13600262802043	2	0
intron_6_31151122_31156731	6	31151122	31156731	2.10726175562682e-17	5	1	1.10000049619775e-17	Esophagus_Mucosa	1.01779216905106e-16	Pancreas	4.95007272652118	1.04466637853476e-16	4.95007272652118	-8.56296634674072	-8.30269114352972	-8.44506581695287	0.130913735032479	1	0
intron_6_31781123_31781481	6	31781123	31781481	2.70000823333505e-17	5	1	2.70000823333506e-17	Esophagus_Mucosa	2.70000823333506e-17	Esophagus_Mucosa	5	6.16297582203916e-33	5	-8.45886135101318	-8.45886135101318	-8.45886135101318	0	1	0
intron_6_31781123_31781389	6	31781123	31781389	3.29999253301054e-17	3	1	3.29999253301044e-17	Esophagus_Mucosa	3.29999253301044e-17	Esophagus_Mucosa	3	2.11125548401341e-48	3	8.43542575836182	8.43542575836182	8.43542575836182	0	0.999999999999999	0
intron_6_31744581_31747387	6	31744581	31747387	3.40000467753992e-17	4	1	3.40000467753993e-17	Esophagus_Mucosa	3.40000467753995e-17	Skin_Not_Sun_Exposed_Suprapubic	4	6.12188905232064e-17	4	-8.43193340301514	8.43193340301514	-4.21596670150757	8.43193340301514	1	0
intron_6_31763555_31764064	6	31763555	31764064	3.80000000080108e-17	1	1	3.80000000080105e-17	Skin_Sun_Exposed_Lower_leg	3.80000000080105e-17	Skin_Sun_Exposed_Lower_leg	1	1	1	8.41891098022461	8.41891098022461	8.41891098022461	NA	1	0
intron_6_31763550_31764064	6	31763550	31764064	3.80000000080114e-17	1	1	3.80000000080111e-17	Skin_Sun_Exposed_Lower_leg	3.80000000080111e-17	Skin_Sun_Exposed_Lower_leg	1	1	1	-8.41891098022461	-8.41891098022461	-8.41891098022461	NA	1	0
intron_6_31758620_31758766	6	31758620	31758766	3.90000085657271e-17	1	1	3.9000008565727e-17	Skin_Sun_Exposed_Lower_leg	3.9000008565727e-17	Skin_Sun_Exposed_Lower_leg	1	1	1	-8.41586685180664	-8.41586685180664	-8.41586685180664	NA	1	0
intron_6_31798049_31806075	6	31798049	31806075	4.70001788797355e-17	1	1	4.70001788797356e-17	Skin_Not_Sun_Exposed_Suprapubic	4.70001788797356e-17	Skin_Not_Sun_Exposed_Suprapubic	1	1	1	-8.39396858215332	-8.39396858215332	-8.39396858215332	NA	1	0
intron_6_28281918_28283776	6	28281918	28283776	6.79997847500056e-17	1	1	6.7999784750005e-17	Kidney_Cortex	6.7999784750005e-17	Kidney_Cortex	1	1	1	-8.35045623779297	-8.35045623779297	-8.35045623779297	NA	1	0
intron_6_31760216_31760690	6	31760216	31760690	8.23246088853148e-17	5	2	3.90000085657278e-17	Skin_Not_Sun_Exposed_Suprapubic	0.00960000212097749	Esophagus_Mucosa	4.01189995136068	2.54448777004521e-17	0.988100048639321	-8.41586685180664	2.58991360664368	-0.647207927703857	4.88781736356926	2	0
intron_6_28225366_28227012	6	28225366	28227012	9.20000923010739e-17	2	1	9.20000923010726e-17	Skin_Not_Sun_Exposed_Suprapubic	9.20000923010726e-17	Skin_Not_Sun_Exposed_Suprapubic	2	3.35470445140523e-17	2	-8.3146800994873	8.3146800994873	0	11.7587333634886	1	0
intron_6_30925385_30925544	6	30925385	30925544	1.29496541327823e-16	4	3	4.18681800165305e-07	Skin_Sun_Exposed_Lower_leg	0.773959124516198	Esophagus_Mucosa	3.53441257349099	0.036084005925777	0.144318555671821	-0.455448770991022	5.060261530802	1.58288607150809	2.44583331065793	3	0
intron_6_32442693_32443185	6	32442693	32443185	1.70651559799943e-16	2	2	4.900007611429e-17	Pancreas	1.93860137565683e-11	Esophagus_Mucosa	1.88345477762444	0.116545222375562	0.116545222375562	6.71057412418375	8.38907051086426	7.549822317524	1.18687617721891	2	0
intron_6_30199153_30213305	6	30199153	30213305	1.94492854373934e-16	4	3	1.30000108291373e-16	Skin_Not_Sun_Exposed_Suprapubic	0.350000012526044	Kidney_Cortex	2.63673950353055	0.0343539351651587	0.332096366976503	-0.934589266777039	8.27357578277588	4.97859263705805	4.27709189939772	3	0
intron_6_30339930_30340505	6	30339930	30340505	2.60000409390236e-16	4	1	2.60000409390238e-16	Kidney_Cortex	2.60000409390243e-16	Skin_Sun_Exposed_Lower_leg	4	1.21515599956877e-17	4	-8.19056606292725	8.19056606292724	-4.09528303146362	8.19056606292725	1	0
intron_6_31780153_31780441	6	31780153	31780441	2.7675205973925e-16	2	2	2.70000823333506e-17	Skin_Not_Sun_Exposed_Suprapubic	0.590000019272663	Esophagus_Mucosa	1.02737587926959	0.972624120730409	0.972624120730409	-0.538836002349853	8.45886135101318	3.96001267433167	6.36233281362725	2	0
intron_19_41320470_41322595	19	41320470	41322595	8.09998427686576e-16	5	1	8.09998427686552e-16	Kidney_Cortex	8.09998427686576e-16	Esophagus_Mucosa	5	1.38616484749782e-98	5	-8.05268096923828	8.05268096923828	4.83160858154297	7.20253681933428	1	0
intron_19_41320470_41322600	19	41320470	41322600	8.09998427686594e-16	2	1	8.09998427686576e-16	Esophagus_Mucosa	8.09998427686576e-16	Esophagus_Mucosa	2	3.35470445140523e-17	2	-8.05268096923828	-8.05268096923828	-8.05268096923828	0	1	0
intron_6_31166047_31170216	6	31166047	31170216	1.42436602190175e-15	2	2	1.70000008395015e-16	Skin_Not_Sun_Exposed_Suprapubic	7.6012228175785e-05	Pancreas	1.54794681661001	0.452053183389988	0.452053183389988	3.95663723421561	8.24154567718506	6.09909145570033	3.02988781678719	2	0
intron_6_31961094_31961196	6	31961094	31961196	2.10000245656829e-15	2	1	2.10000245656827e-15	Esophagus_Mucosa	2.10000245656827e-15	Esophagus_Mucosa	2	3.35470445140523e-17	2	-7.93529224395752	-7.93529224395752	-7.93529224395752	0	1	0
intron_6_31961386_31961547	6	31961386	31961547	2.16615861185862e-15	3	1	2.10000245656829e-15	Skin_Not_Sun_Exposed_Suprapubic	2.20000212259357e-15	Esophagus_Mucosa	3	2.11125548401341e-48	3	7.92951679229736	7.93529224395752	7.93144194285075	0.00333445857068237	0.999999999999999	0
intron_6_31968538_31968623	6	31968538	31968623	3.8999964153436e-15	2	1	3.89999641534353e-15	Esophagus_Mucosa	3.89999641534357e-15	Skin_Sun_Exposed_Lower_leg	2	3.53144688024064e-16	2	-7.85810136795044	-7.85810136795044	-7.85810136795044	1.25607396694702e-15	1	0
intron_6_31979553_31980451	6	31979553	31980451	4.26075527912609e-15	3	1	3.5000023047163e-15	Skin_Sun_Exposed_Lower_leg	4.7000050179858e-15	Esophagus_Mucosa	3	2.11125548401341e-48	3	7.83469009399414	7.87164783477783	7.84700934092204	0.0213375615901036	0.999999999999999	0
intron_6_29943543_29944122	6	29943543	29944122	4.99568389410898e-15	4	4	0.00340000020385963	Skin_Not_Sun_Exposed_Suprapubic	0.819999998740581	Pancreas	2.58773438314296	0.0933024901608041	0.0933024901608041	-1.10984164055804	2.9290497303009	0.7381305757911	1.78282998429839	4	0
intron_6_31961094_31961547	6	31961094	31961547	5.73945322538368e-15	5	2	2.09144800548221e-15	Esophagus_Mucosa	9.53421678876245e-08	Kidney_Cortex	4.29614487173489	1.96515069810479e-17	0.703855013526474	-7.9357988140692	-5.33538475756925	-7.41325784166153	1.16156981083106	2	0
intron_6_31463279_31463371	6	31463279	31463371	2.03898049976209e-14	3	1	1.73859667628436e-18	Skin_Not_Sun_Exposed_Suprapubic	3.60000608144968e-12	Esophagus_Mucosa	2.92395508818697	2.84160058614197e-16	2.92395508818697	6.95205593109131	8.77307013792061	7.55906066670108	1.05136304251103	1	0
intron_6_31354665_31355107	6	31354665	31355107	2.33004332920396e-14	5	4	1.51764767672909e-06	Kidney_Cortex	0.430059348437103	Skin_Not_Sun_Exposed_Suprapubic	3.4905901265902	0.0194618739869613	0.219879636582942	-4.80889780036388	1.99700866705791	-1.28818831928365	2.43615115082957	4	0
intron_6_28272336_28272670	6	28272336	28272670	9.59999088744941e-14	1	1	9.59999088744937e-14	Kidney_Cortex	9.59999088744937e-14	Kidney_Cortex	1	1	1	7.44629240036011	7.44629240036011	7.44629240036011	NA	1	0
intron_6_31968538_31968686	6	31968538	31968686	1.15118886738937e-13	1	1	1.15118886738936e-13	Esophagus_Mucosa	1.15118886738936e-13	Esophagus_Mucosa	1	1	1	7.42228256101687	7.42228256101687	7.42228256101687	NA	1	0
intron_6_30643011_30643529	6	30643011	30643529	2.02121371089563e-13	2	2	1.28549403413575e-09	Kidney_Cortex	0.28000002467138	Skin_Sun_Exposed_Lower_leg	1.48994037678482	0.510059623215183	0.510059623215183	-6.06919946952881	1.08031928539276	-2.49444009206803	5.05547319382545	2	0
intron_6_30201138_30204656	6	30201138	30204656	3.05450658203242e-13	4	1	5.19411276117991e-15	Esophagus_Mucosa	3.49999486311564e-11	Kidney_Cortex	3.90048903174151	7.79963706218867e-19	3.90048903174151	-7.82211983249616	-6.62383413314819	-7.20109175236883	0.667517076507926	0.999999999999999	0
intron_6_32180126_32180229	6	32180126	32180229	3.40000142613084e-13	1	1	3.40000142613083e-13	Pancreas	3.40000142613083e-13	Pancreas	1	1	1	-7.27752494812012	-7.27752494812012	-7.27752494812012	NA	1	0
intron_6_26407952_26408692	6	26407952	26408692	3.59281377827055e-13	1	1	3.59281377827055e-13	Skin_Not_Sun_Exposed_Suprapubic	3.59281377827055e-13	Skin_Not_Sun_Exposed_Suprapubic	1	1	1	-7.27007747595107	-7.27007747595107	-7.27007747595107	NA	1	0
intron_6_32201500_32202076	6	32201500	32202076	4.9146460428401e-13	4	2	0.000730000099418941	Kidney_Cortex	0.00349999969782095	Esophagus_Mucosa	3.50545110419867	3.5328867343781e-17	0.494548895801334	-2.9200279712677	3.37805676460266	-1.34550678730011	3.14904236793518	2	0
intron_6_28272339_28272670	6	28272339	28272670	5.32883905892884e-13	5	2	6.45201280925445e-13	Skin_Sun_Exposed_Lower_leg	1.29999876168952e-06	Kidney_Cortex	4.76011825167248	3.34175196860155e-17	0.207945728650189	4.83975410461426	7.19057266351461	6.57410165986763	1.00346499857883	2	0
intron_6_31540664_31541950	6	31540664	31541950	5.51088804946086e-13	5	3	4.05515157165274e-05	Skin_Not_Sun_Exposed_Suprapubic	0.852885098372747	Kidney_Cortex	4.17041785319125	0.0208933072664173	0.15460475185555	-4.10431469490467	-0.185438519171492	-2.56674485227362	1.44366639814661	3	0
intron_6_26407952_26409533	6	26407952	26409533	6.34625353147125e-13	3	2	2.50000061079339e-13	Skin_Not_Sun_Exposed_Suprapubic	4.9298632756555e-11	Esophagus_Mucosa	2.67602600997478	0.0592928104290556	0.264681179596165	6.57303871610479	7.31890630722046	7.05917456000902	0.421335646627046	2	0
intron_6_32198559_32198658	6	32198559	32198658	7.00324981874803e-13	5	2	8.50000136801994e-05	Esophagus_Mucosa	0.586939849862879	Skin_Sun_Exposed_Lower_leg	4.70860927873036	3.31279533509028e-17	0.291390721269634	-0.543275907367584	3.92984676361084	3.03522222941515	2.00044127280064	2	0
intron_6_31162005_31162477	6	31162005	31162477	8.43694306252327e-13	3	2	0.000213470451294326	Skin_Not_Sun_Exposed_Suprapubic	0.256233662687682	Esophagus_Mucosa	2.73839344461287	0.0354653435581413	0.226141211828992	-3.70251771318419	1.1353381518854	-1.59379285362845	2.47788017915597	2	0
intron_6_32746072_32746240	6	32746072	32746240	8.44162146869147e-13	3	3	9.30000571814885e-08	Esophagus_Mucosa	0.720000004525596	Skin_Not_Sun_Exposed_Suprapubic	1.95561868153725	0.455859529983313	0.455859529983313	-1.72213175242259	5.33989572525024	1.08643506187494	3.74617761193708	3	0
intron_6_31651776_31660321	6	31651776	31660321	9.39142889677841e-13	5	3	1.72355075797832e-12	Skin_Sun_Exposed_Lower_leg	9.09316253560645e-06	Pancreas	2.84587902214541	6.67306177306122e-17	0.765242256749382	4.43768484375732	7.0551980386383	5.72171007131564	0.957075551091677	3	0
intron_6_31114891_31139641	6	31114891	31139641	1.70995990354132e-12	2	2	3.59849659126e-06	Skin_Sun_Exposed_Lower_leg	0.400000007537173	Skin_Not_Sun_Exposed_Suprapubic	1.70001402257945	0.299985977420551	0.299985977420551	-0.841621220111847	4.6333188435439	1.89584881171603	3.87136724560089	2	0
intron_6_31356442_31356688	6	31356442	31356688	2.14068713122575e-12	5	3	1.83284936128112e-08	Skin_Sun_Exposed_Lower_leg	0.0734301745797672	Esophagus_Mucosa	4.31581520094981	0.071279636471443	0.18236179781761	-5.62708075397497	-1.79014767307125	-3.1223485641752	1.51221483469722	3	0
intron_6_30204765_30213305	6	30204765	30213305	2.31109795842481e-12	5	1	3.79082900092071e-17	Skin_Sun_Exposed_Lower_leg	4.09999863874975e-11	Esophagus_Mucosa	4.9140140457637	7.34235571912826e-17	4.9140140457637	-8.41919409969663	-6.60041809082031	-6.96417329259558	0.813381358338642	0.999999999999999	0
intron_6_32181477_32181606	6	32181477	32181606	2.40370931536606e-12	2	2	2.90000060248633e-13	Skin_Not_Sun_Exposed_Suprapubic	0.607353468467531	Esophagus_Mucosa	1.13594747850693	0.864052521493073	0.864052521493073	-7.29896020889282	0.513854860968957	-3.39255267396193	5.52449451605571	2	0
intron_6_32191908_32192148	6	32191908	32192148	2.59999855596728e-12	1	1	2.59999855596727e-12	Kidney_Cortex	2.59999855596727e-12	Kidney_Cortex	1	1	1	6.99780702590943	6.99780702590943	6.99780702590943	NA	1	0
intron_6_32192250_32192472	6	32192250	32192472	2.59999855596731e-12	2	1	2.59999855596729e-12	Kidney_Cortex	2.59999855596729e-12	Pancreas	2	6.12164181842999e-17	2	-6.99780702590942	-6.99780702590942	-6.99780702590942	8.88178419700125e-16	1	0
intron_6_31271348_31271599	6	31271348	31271599	2.91161222717046e-12	5	2	8.61150052764262e-11	Kidney_Cortex	0.51964813823789	Skin_Sun_Exposed_Lower_leg	4.58371220556381	0.00644561675724874	0.334234170673524	-6.48951172470153	-0.64388788523652	-3.29275787575835	2.11652769025382	2	0
intron_6_31651776_31652400	6	31651776	31652400	3.69488188214684e-12	3	1	2.90444134735357e-12	Skin_Not_Sun_Exposed_Suprapubic	6.22796441838247e-12	Pancreas	2.99771880356154	8.55239189087141e-20	2.99771880356154	-6.9822719824219	-6.87433512012644	-6.94573987523375	0.0618438981647986	1	0
intron_6_26368050_26368178	6	26368050	26368178	4.30000401857326e-12	3	1	4.30000401857327e-12	Skin_Not_Sun_Exposed_Suprapubic	4.30000401857331e-12	Pancreas	3	6.08744469241178e-17	3	-6.92695331573486	-6.92695331573486	-6.92695331573486	6.2803698347351e-16	1	0
intron_6_26368050_26368565	6	26368050	26368565	4.50997137416802e-12	4	1	3.69999420900763e-12	Esophagus_Mucosa	6.79722388560485e-12	Skin_Not_Sun_Exposed_Suprapubic	3.99515235931749	3.06025398238863e-19	3.99515235931749	-6.94819116592407	-6.86185458322028	-6.91598809515352	0.0374519559172121	1	0
intron_6_29944616_29945059	6	29944616	29945059	5.34826193910898e-12	5	1	4.19999355277065e-12	Kidney_Cortex	9.6846198557018e-12	Pancreas	4.99054889845617	1.04156998945667e-19	4.99054889845617	-6.9302830696106	-6.81111347737198	-6.88947428536189	0.0571768927196509	1	0
intron_6_28271934_28272670	6	28271934	28272670	6.1839449587303e-12	5	2	6.2193103184003e-12	Kidney_Cortex	1.29999876168952e-06	Skin_Not_Sun_Exposed_Suprapubic	4.7300926093401	1.75149891499849e-16	0.187699079558184	-6.87453336077671	-4.83975410461426	-5.9542637111766	0.928771605575438	2	0
intron_6_31411359_31411947	6	31411359	31411947	7.91964326355303e-12	5	4	9.9999861532886e-09	Kidney_Cortex	0.636893621582966	Pancreas	3.57497928535983	0.0489410377885346	0.125173524157676	-5.73072910308838	1.62695869611552	-1.61422441638231	2.86110204205698	4	0
intron_6_30924560_30925544	6	30924560	30925544	2.17524105868291e-11	5	2	3.13968464432558e-07	Esophagus_Mucosa	0.0910000093581485	Kidney_Cortex	4.7553331741194	2.13671705637748e-17	0.229828208278761	-5.11486317125973	-1.69014608860016	-4.32240734253693	1.47693708023028	2	0
intron_6_26365352_26367990	6	26365352	26367990	2.82569152647302e-11	3	3	1.2000012167602e-11	Skin_Sun_Exposed_Lower_leg	0.873236016820482	Skin_Not_Sun_Exposed_Suprapubic	1.3461422626709	0.655087873313999	0.655087873313999	-6.78021144866943	1.15034937858582	-1.92980383366331	4.25132911529551	3	0
intron_6_26368267_26368565	6	26368267	26368565	3.06482491841676e-11	3	2	3.69999420900766e-12	Esophagus_Mucosa	0.229999996267641	Skin_Sun_Exposed_Lower_leg	2.02773511233899	1.05226459239268e-17	0.972264887661007	-6.94819116592407	-1.20035886764526	-5.0322470664978	3.3185125246681	2	0
intron_6_30201123_30213305	6	30201123	30213305	3.49999486311569e-11	2	1	3.49999486311564e-11	Skin_Not_Sun_Exposed_Suprapubic	3.49999486311564e-11	Skin_Not_Sun_Exposed_Suprapubic	2	3.53144688024064e-16	2	6.62383413314819	6.62383413314819	6.62383413314819	0	1	0
intron_6_30201138_30213305	6	30201138	30213305	3.94706551181754e-11	4	1	3.49999486311564e-11	Pancreas	8.99999520477252e-11	Esophagus_Mucosa	3.9776622740449	2.99688940171505e-19	3.9776622740449	6.48286008834839	6.62383413314819	6.58754980564117	0.0698207332961395	1	0
