gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status	GeneID	chromosome	map_location	start_position	end_position
ENSG00000179344.16	HLA-DQB1	3.82704857957686e-15	5	3	5.59999668500503e-06	Skin_Not_Sun_Exposed_Suprapubic	0.566860131279	Skin_Sun_Exposed_Lower_leg	3.7073953893912	0.00709649527402743	0.174438177991588	-1.40507161617279	4.54095506668091	1.17050722772188	2.15408026019279	3	0	3119	6	6p21.32	32659466	32666656
ENSG00000137312.14	FLOT1	4.55654924260202e-15	5	2	5.35704865997682e-18	Pancreas	0.104094110250777	Skin_Sun_Exposed_Lower_leg	3.92812913984573	0.00649679247843445	0.961492430212555	-8.64549938740009	-1.62532132328515	-6.7280975877873	2.92254702960298	2	0	10211	6	6p21.33	30727708	30742846
ENSG00000142039.3	CCDC97	6.3803415363599e-15	4	2	8.0999842768657e-16	Kidney_Cortex	0.0570000056013051	Esophagus_Mucosa	3.03204292553503	1.23338643156808e-16	0.967957074464967	-8.05268096923828	1.90331077575684	-0.585687160491943	4.97799587249756	2	0	90324	19	19q13.2	41309854	41324872
ENSG00000105329.9	TGFB1	9.94030838403372e-15	4	3	3.4883383275798e-16	Pancreas	0.0780000024943111	Skin_Sun_Exposed_Lower_leg	2.16610721743502	0.00337354968705376	0.739241837662626	-8.15511983122813	1.76241028308868	-4.31427557589087	4.75785555510118	3	0	7040	19	19q13.2	41330322	41353921
ENSG00000189134.3	NKAPL	2.18732033161512e-14	4	3	5.89738340932821e-05	Skin_Sun_Exposed_Lower_leg	0.328073792867762	Esophagus_Mucosa	3.04103615243995	3.07179023459433e-17	0.154513763150944	-4.01687960291269	0.978001074062319	-1.46225544029899	2.04022028611095	3	0	222698	6	6p22.1	28259296	28260957
ENSG00000196812.4	ZSCAN16	5.79171583952368e-14	5	4	2.43199234857769e-15	Pancreas	0.339999986477289	Skin_Not_Sun_Exposed_Suprapubic	2.44291368344563	6.29102685546316e-16	0.227385956418228	-7.91705650891754	6.65136063962898	0.760557189703791	5.98011721890837	4	0	80345	6	6p22.1	28123752	28130081
ENSG00000204388.6	HSPA1B	6.29343989759816e-14	5	3	1.10000003234147e-14	Esophagus_Mucosa	0.739999989804993	Skin_Not_Sun_Exposed_Suprapubic	3.1051387808195	3.10415516754283e-17	0.910852580571182	-7.72712802886963	0.331853359937668	-5.10339384461072	3.72614202888962	3	0	3304	6	6p21.33	31827737	31830253
ENSG00000224843.6	LINC00240	7.8877930477725e-14	5	4	1.35839048697626e-12	Kidney_Cortex	3.49999914388295e-07	Esophagus_Mucosa	3.52433968022737	0.0270129652909452	0.182914578782477	-7.0882290166676	-5.09431743621826	-5.8515756555933	0.871529362059402	4	0	100133205	6	6p22.2	26956992	27023973
ENSG00000204308.7	RNF5	8.70433446472731e-14	5	4	9.67537589503392e-14	Kidney_Cortex	1.00438286574148e-10	Esophagus_Mucosa	3.92473520465629	0.0158041977956779	0.160327462524834	6.46628993233913	7.44525988570925	6.93280528054321	0.439295720557909	4	0	6048	6	6p21.32	32178404	32180792
ENSG00000232040.2	ZBED9	9.43650337210946e-14	3	2	0.000120000031809092	Pancreas	0.000419999843992165	Esophagus_Mucosa	2.42059339721301	2.35513868802566e-16	0.579406602786989	-3.84612607955933	3.84612607955933	-1.17572903633118	4.35197680605987	2	0	114821	6	6p22.1	28568287	28616201
ENSG00000137185.11	ZSCAN9	1.10533033423205e-13	5	3	1.20028128837367e-10	Pancreas	0.919355928991536	Skin_Sun_Exposed_Lower_leg	3.51004780956143	1.27063978844771e-16	0.223564562859906	-6.43929700030052	3.11274200600355	-1.62032082625604	4.16516674461871	3	0	7746	6	6p22.1	28224701	28233486
ENSG00000206503.12	HLA-A	1.52020723581815e-13	4	4	2.47387609302081e-09	Skin_Sun_Exposed_Lower_leg	0.840000000398616	Kidney_Cortex	1.63986141510846	0.487946259161018	0.487946259161018	-1.75651800632477	5.96317210622899	0.713602810671609	3.5577111489919	4	0	3105	6	6p22.1	29942531	29945869
ENSG00000206344.7	HCG27	1.96254987726006e-13	5	2	1.91914118131631e-13	Skin_Not_Sun_Exposed_Suprapubic	0.0184409192964984	Esophagus_Mucosa	4.3510888236494	0.00239685266996178	0.475920918249357	2.35664393886614	7.35431122161477	5.0642983414851	1.78993407044519	2	0	253018	6	6p21.33	31197759	31203967
ENSG00000204498.10	NFKBIL1	2.32452878470335e-13	4	4	5.18942334764661e-08	Esophagus_Mucosa	0.0750000081955498	Skin_Not_Sun_Exposed_Suprapubic	2.36937964165252	0.235226472931228	0.235226472931228	-2.75874850825359	5.44469497672319	1.18298521736192	4.0607642894214	4	0	4795	6	6p21.33	31546850	31558828
ENSG00000187626.8	ZKSCAN4	2.38835455837122e-13	4	3	3.7000028229288e-14	Esophagus_Mucosa	0.264226933519566	Skin_Sun_Exposed_Lower_leg	2.75744779601956	1.98339664199123e-16	0.240040184821751	-7.57112693786621	1.11645614199096	-5.05340573417084	4.16461055486649	3	0	387032	6	6p22.1	28241696	28259257
ENSG00000184357.4	HIST1H1B	3.20000197898374e-13	1	1	3.20000197898372e-13	Skin_Not_Sun_Exposed_Suprapubic	3.20000197898372e-13	Skin_Not_Sun_Exposed_Suprapubic	1	1	1	7.28570175170898	7.28570175170898	7.28570175170898	NA	1	0	NA	NA	NA	NA	NA
ENSG00000229274.1	XXbac-BPG13B8.10	3.37915410284835e-13	1	1	3.37915410284835e-13	Esophagus_Mucosa	3.37915410284835e-13	Esophagus_Mucosa	1	1	1	-7.2783549012799	-7.2783549012799	-7.2783549012799	NA	1	0	NA	NA	NA	NA	NA
ENSG00000204516.9	MICB	6.7811063599963e-13	5	3	9.26787405899167e-12	Pancreas	0.908472858332564	Esophagus_Mucosa	3.92412832705178	0.00476702745136343	0.184418193175215	-6.81743743979085	0.114965007161042	-3.07637603281633	2.60364130381895	3	0	4277	6	6p21.33	31494917	31511123
ENSG00000204632.11	HLA-G	8.70794391466371e-13	4	2	1.2838602542539e-14	Skin_Not_Sun_Exposed_Suprapubic	0.109999993610868	Pancreas	3.02835912474618	0.051387922066423	0.831050218556082	1.59819316864014	7.70742070572298	5.75562910611221	2.80253274521868	2	0	3135	6	6p22.1	29826473	29831129
ENSG00000204536.13	CCHCR1	8.80303640521597e-13	5	5	1.57819492661625e-11	Pancreas	0.0295381421418135	Kidney_Cortex	3.02194495852149	0.14061271680734	0.14061271680734	-6.7405211825401	-2.17622899115084	-4.68374105310268	2.07046613077391	5	0	54535	6	6p21.33	31142438	31158208
ENSG00000241404.6	EGFL8	1.04027453705179e-12	4	3	0.00162680076404419	Esophagus_Mucosa	0.482607290781846	Skin_Not_Sun_Exposed_Suprapubic	3.32111011725556	2.28125692725228e-16	0.127310943717133	-3.15105818914406	0.841621220111847	-1.04225807769282	1.64570272444741	3	0	80864	6	6p21.32	32164594	32168280
ENSG00000137331.11	IER3	1.4672448593845e-12	3	2	2.61535338239102e-11	Esophagus_Mucosa	0.510000010717303	Skin_Sun_Exposed_Lower_leg	2.05376708002354	0.0483631699145203	0.89786975006194	-6.66674701423154	0.658837676048279	-3.89841737936064	3.97696346271887	2	0	8870	6	6p21.33	30743198	30744546
ENSG00000186470.13	BTN3A2	4.77987329364435e-12	5	1	1.12766156614221e-12	Esophagus_Mucosa	1.68880231484031e-10	Kidney_Cortex	4.81917356882161	1.02864504361019e-05	4.81917356882161	6.3872637423432	7.11395227790399	6.78502545854619	0.314036582424987	1	0	11118	6	6p22.2	26365169	26378319
ENSG00000204616.10	TRIM31	9.35312448455108e-12	3	3	8.90001041075873e-11	Skin_Not_Sun_Exposed_Suprapubic	0.0349712840550756	Pancreas	2.02593188216867	0.0692255583742211	0.0692255583742211	-2.10869074690403	6.48454475402832	3.29090173801923	4.70218926545636	3	0	11074	6	6p22.1	30102891	30113089
ENSG00000204420.8	MPIG6B	1.02649701140674e-11	5	4	1.77484322591868e-09	Esophagus_Mucosa	0.0970000080275054	Pancreas	2.5710711261501	3.31360832687527e-05	0.195772485024946	-6.01717760312928	3.15590667724609	-2.58120388888936	4.58540506617782	4	0	80739	6	6p21.33	31720556	31726713
ENSG00000231852.6	CYP21A2	1.65336707664044e-11	5	3	1.39827635751005e-11	Skin_Not_Sun_Exposed_Suprapubic	0.0628502899281788	Kidney_Cortex	3.10105691452448	0.00725277440450757	0.136950009014054	-6.7580848552571	3.12665979014304	-2.59493602657179	4.69050594563907	3	0	1589	6	6p21.33	32038414	32041643
ENSG00000204644.9	ZFP57	1.78415946110473e-11	5	1	1.13073320872341e-11	Pancreas	2.68702904990208e-11	Skin_Not_Sun_Exposed_Suprapubic	4.99600778494027	1.29840191815192e-16	4.99600778494027	-6.78879583543779	-6.66277608008664	-6.7199855255122	0.0531709791706064	1	0	346171	6	6p22.1	29672391	29681151
ENSG00000197062.11	ZSCAN26	3.98360055968647e-11	5	2	3.39936569801642e-12	Pancreas	5.67175774303782e-06	Kidney_Cortex	4.74862904015471	6.9559706581594e-06	0.227769114778831	4.53827012734991	6.96013924748344	6.15627321231539	0.934304427771147	2	0	7741	6	6p22.1	28267049	28278217
ENSG00000261353.1	CTA-14H9.5	4.95207917693936e-11	4	3	9.29999782912542e-05	Kidney_Cortex	0.479999987330342	Skin_Not_Sun_Exposed_Suprapubic	3.6102242928633	0.00295489800058902	0.152804285294488	-3.90816450119019	0.706302583217621	-1.61272299370122	1.88458344914153	3	0	NA	NA	NA	NA	NA
ENSG00000232629.8	HLA-DQB2	6.42763353344489e-11	3	3	3.40000089999631e-09	Skin_Not_Sun_Exposed_Suprapubic	0.000129999952246079	Esophagus_Mucosa	1.73967191923609	0.517614664636094	0.517614664636094	-5.49085187911987	5.91101789474487	-1.13543089230855	6.15888638889366	3	0	3120	6	6p21.32	32756093	32763552
ENSG00000137411.16	VARS2	1.24176042343308e-10	5	2	1.7811884241937e-15	Skin_Sun_Exposed_Lower_leg	3.14579475757633e-06	Esophagus_Mucosa	4.32169975150341	0.000423532172849279	0.516205796265506	4.66106360794769	7.95570186766634	6.04289479429602	1.24363020365378	2	0	57176	6	6p21.33	30914237	30926458
ENSG00000204610.12	TRIM15	1.91119769318602e-10	4	2	1.23907113832871e-09	Skin_Not_Sun_Exposed_Suprapubic	0.00110000018089731	Kidney_Cortex	3.72085509005458	9.98742692913202e-18	0.279144909945421	-3.26361632347107	6.07510435832115	2.33468017044805	3.96053622176929	2	0	89870	6	6p22.1	30163545	30172692
ENSG00000158691.14	ZSCAN12	1.94499221165792e-10	4	3	4.25974401030901e-07	Pancreas	0.780903695361047	Skin_Not_Sun_Exposed_Suprapubic	3.28038648895498	0.0121085251349962	0.160650028016102	-5.05696812599017	0.27814155778218	-2.72157160708447	2.66389348749586	3	0	9753	6	6p22.1	28378820	28399767
ENSG00000221988.12	PPT2	3.13096387703734e-10	4	2	9.49999174853606e-11	Pancreas	0.390000006482609	Skin_Sun_Exposed_Lower_leg	2.60929192418909	2.22044604925031e-16	1.39070807581091	-6.47470092773438	0.859617352485657	-2.47046152586619	3.88444273854547	2	0	9374	6	6p21.32	32153527	32163674
ENSG00000204538.3	PSORS1C2	3.6603665037702e-10	4	4	3.20000128493932e-06	Kidney_Cortex	0.460000006504713	Skin_Sun_Exposed_Lower_leg	2.06503471362962	0.117058185235217	0.117058185235217	0.738846838474274	4.65754652023315	2.70263147391932	1.74155292322165	4	0	170680	6	6p21.33	31137533	31139065
ENSG00000204314.10	PRRT1	5.08113170051078e-10	5	2	2.43091070095073e-08	Skin_Not_Sun_Exposed_Suprapubic	0.00917364134004122	Pancreas	4.54470137582097	0.00173547615066404	0.328554587960253	2.60551441476109	5.57814923191082	4.18234101806984	1.38067496579537	2	0	80863	6	6p21.32	32148327	32153625
ENSG00000196260.4	SFTA2	5.76456913753355e-10	3	3	1.66374068010222e-08	Kidney_Cortex	0.000351032346367428	Esophagus_Mucosa	1.54580275980384	0.489117358873967	0.489117358873967	-5.643761957416	-3.57439969700437	-4.77851255290352	1.07549354726946	3	0	389376	6	6p21.33	30931352	30932169
ENSG00000198563.13	DDX39B	6.78045656784205e-10	5	3	2.54988833549694e-09	Pancreas	0.000310000017124541	Esophagus_Mucosa	3.68196497291264	6.42217754990968e-17	0.462082058296773	3.60679697990417	5.95822721499179	5.28315834034393	0.959035376760411	3	0	7919	6	6p21.33	31530225	31542002
ENSG00000228022.5	HCG20	1.05982397727927e-09	3	2	5.19213148076948e-07	Kidney_Cortex	4.79999557755851e-05	Skin_Sun_Exposed_Lower_leg	2.00018270224438	3.27258181105518e-33	0.999817297755616	4.06515789031982	5.01907338224124	4.3831297209603	0.550743366044982	2	0	NA	NA	NA	NA	NA
ENSG00000213722.8	DDAH2	1.26823530514139e-09	4	3	0.0200000024588982	Kidney_Cortex	0.684288809031934	Pancreas	2.88728487589843	0.0341462757482629	0.122717963952148	-0.609688701094393	2.32634782791138	0.443498742589242	1.33883541453639	3	0	23564	6	6p21.33	31727039	31730262
ENSG00000204310.12	AGPAT1	1.31316198322103e-09	4	2	2.24791754072634e-09	Kidney_Cortex	0.70999999700558	Pancreas	2.41695361195248	4.50863821027084e-17	1.58304638804752	-5.97879679528513	5.53997065933951	0.0762215127169346	4.71489134049621	2	0	10554	6	6p21.32	32168211	32178107
ENSG00000261839.1	RP1-265C24.8	1.32386243311555e-09	3	2	2.88801523096769e-10	Skin_Sun_Exposed_Lower_leg	0.479999987330342	Skin_Not_Sun_Exposed_Suprapubic	2.01739868483486	4.73442995645479e-17	0.982601315165137	-6.30467378104018	0.706302583217621	-3.93322970023077	4.01828513998919	2	0	NA	NA	NA	NA	NA
ENSG00000204642.13	HLA-F	2.39630666328283e-09	4	2	0.0328727763008054	Esophagus_Mucosa	0.80924996009283	Skin_Not_Sun_Exposed_Suprapubic	3.64944824740615	0.0551306859385446	0.224884416087695	-2.13363371002446	1.96084650099796	-0.175968937559814	1.72515229897878	2	0	3134	6	6p22.1	29723433	29740354
ENSG00000234745.10	HLA-B	2.44522840772145e-09	4	4	0.00093933910270098	Skin_Sun_Exposed_Lower_leg	0.940061379389429	Skin_Not_Sun_Exposed_Suprapubic	2.01728062147027	0.31951799979564	0.31951799979564	-1.74576243943579	3.30809210600616	0.00080542955618379	2.35709919812613	4	0	3106	6	6p21.33	31353874	31357178
ENSG00000204540.10	PSORS1C1	2.96503375256303e-09	5	3	3.72212124683678e-09	Esophagus_Mucosa	0.000149135783337237	Skin_Not_Sun_Exposed_Suprapubic	4.21861411477988	0.00474181121402229	0.156689339335096	3.7925041068413	5.89609172239259	4.94906886832284	0.848928373275649	3	0	170679	6	6p21.33	31114799	31140091
ENSG00000204592.8	HLA-E	3.33404524361791e-09	4	2	8.79999842046618e-10	Skin_Not_Sun_Exposed_Suprapubic	0.0390000074829791	Esophagus_Mucosa	2.25453927270631	6.03924587674504e-33	1.74546072729369	-6.1297812461853	-2.06418681144714	-4.08808362483978	2.33703993565729	2	0	3133	6	6p22.1	30489507	30494193
ENSG00000204387.12	C6orf48	4.41190484425579e-09	5	3	0.0039701196587245	Skin_Not_Sun_Exposed_Suprapubic	0.461381397725489	Esophagus_Mucosa	4.12461034936668	0.00521878253982004	0.192264619721275	-2.88052619040542	2.47832184122381	-0.760192847848847	2.01017675740855	3	0	NA	NA	NA	NA	NA
ENSG00000240053.8	LY6G5B	5.03010092919948e-09	4	1	2.97540384737723e-10	Pancreas	4.45928564088576e-08	Skin_Not_Sun_Exposed_Suprapubic	3.90630199119441	8.5655054252652e-19	3.90630199119441	-6.30005482399848	-5.4716246341985	-5.78205212422636	0.394547835724145	1	0	58496	6	6p21.33	31670950	31672449
ENSG00000228223.2	HCG11	6.70159270070675e-09	4	2	9.49999801073717e-05	Pancreas	0.557972209313309	Esophagus_Mucosa	3.60956571982334	1.16086165712094e-16	0.387948296350909	-3.90301966667175	0.593226576705257	-1.04435894526795	2.13530825540082	2	0	493812	6	6p22.2	26521705	26527392
ENSG00000162493.16	PDPN	9.1533918538488e-09	5	4	1.6262615154131e-08	Skin_Sun_Exposed_Lower_leg	0.159999983390071	Pancreas	2.8949240514925	0.04654626522931	0.159640217342042	-5.6476814523453	-1.40507161617279	-3.27825152052397	1.90937331758621	4	0	10630	1	1p36.21	13583756	13617956
ENSG00000137310.11	TCF19	9.23285477046236e-09	5	4	9.76665942635253e-08	Pancreas	0.555181747154323	Esophagus_Mucosa	2.37952246529256	0.0527238073374434	0.0944741385111645	-2.97371452604292	5.33101268777587	1.00629518998089	3.78683563571309	4	0	6941	6	6p21.33	31158588	31164214
ENSG00000281831.1	HCP5B	1.87675214418083e-08	5	4	4.86074275752687e-11	Esophagus_Mucosa	0.270000019848617	Kidney_Cortex	3.7376705292922	0.0441493328270246	0.126345953925635	-6.575139949411	-1.10306251049042	-4.55791247216426	2.07111137855642	4	0	352990	6	6p22.1	29871894	29873782
ENSG00000066379.14	ZNRD1	1.90651953660376e-08	5	3	2.42318615816828e-07	Skin_Sun_Exposed_Lower_leg	0.133570642856164	Pancreas	4.02997257215353	0.0768932857339387	0.184632421877069	1.50016895475408	5.16354320680033	3.71158925454227	1.68219942967416	3	0	NA	NA	NA	NA	NA
ENSG00000231925.11	TAPBP	2.39482160571676e-08	5	2	0.117336024292519	Esophagus_Mucosa	0.885918891952439	Pancreas	4.80443251983607	9.53205677069788e-17	0.171351647270308	-0.930230385914665	1.56605379291021	0.205363554437647	1.22667872072899	2	0	6892	6	6p21.32	33299693	33314253
ENSG00000204655.11	MOG	2.92757613084876e-08	1	1	2.92757613084875e-08	Skin_Not_Sun_Exposed_Suprapubic	2.92757613084875e-08	Skin_Not_Sun_Exposed_Suprapubic	1	1	1	-5.54571364837217	-5.54571364837217	-5.54571364837217	NA	1	0	4340	6	6p22.1	29657091	29672364
ENSG00000204371.11	EHMT2	3.67160632479928e-08	2	1	3.23072699509748e-08	Skin_Sun_Exposed_Lower_leg	4.17126641606186e-08	Skin_Not_Sun_Exposed_Suprapubic	1.99998971920484	1.02807951645052e-05	1.99998971920484	-5.52844987754804	-5.48344303257007	-5.50594645505905	0.0318246452837363	1	0	10919	6	6p21.33	31879758	31897697
ENSG00000272221.1	XXbac-BPG181B23.7	3.89469974293081e-08	4	2	1.89369463592604e-07	Esophagus_Mucosa	0.0026287719466741	Skin_Not_Sun_Exposed_Suprapubic	2.91106835417406	0.0321371684445361	0.978069539633473	-5.20948113177134	-3.00811089429404	-3.71215278607882	1.0086918472804	2	0	NA	NA	NA	NA	NA
ENSG00000196126.11	HLA-DRB1	4.15112695714942e-08	1	1	4.15112695714941e-08	Skin_Sun_Exposed_Lower_leg	4.15112695714941e-08	Skin_Sun_Exposed_Lower_leg	1	1	1	-5.48429877211336	-5.48429877211336	-5.48429877211336	NA	1	0	3123	6	6p21.32	32578774	32589847
ENSG00000189298.13	ZKSCAN3	5.02110155462546e-08	5	3	1.53245610026617e-07	Pancreas	0.393933570248582	Kidney_Cortex	3.29509463179949	0.000774523776979506	0.509971860163371	-0.852505531426246	5.24861662813642	3.01048276098337	2.6290487303481	3	0	80317	6	6p22.1	28349912	28369173
ENSG00000204428.12	LY6G5C	5.60388583320583e-08	5	2	1.59999858171782e-05	Skin_Not_Sun_Exposed_Suprapubic	0.000320000047861502	Esophagus_Mucosa	4.00411919892021	1.74942280805456e-48	0.995880801079794	-4.31445121765137	3.59854698181152	-2.73185157775879	3.53880037596649	2	0	80741	6	6p21.33	31676683	31680372
ENSG00000026950.16	BTN3A1	5.62461974005736e-08	5	3	2.23916808982532e-05	Kidney_Cortex	0.504846064666853	Skin_Sun_Exposed_Lower_leg	3.94529960020596	0.0323323280717762	0.213334928620673	-4.23960162296524	-0.666884261562524	-1.99086156775233	1.34752397762639	3	0	11119	6	6p22.2	26402268	26415215
ENSG00000204539.3	CDSN	7.87409721755136e-08	2	2	0.00722121974008335	Skin_Not_Sun_Exposed_Suprapubic	0.674945297032769	Skin_Sun_Exposed_Lower_leg	1.84601564893403	0.153984351065973	0.153984351065973	-0.419370613772274	2.6864664615123	1.13354792387001	2.19615845719432	2	0	1041	6	6p21.33	31115086	31120445
